STA,Lat,Long
27445,-6.207350664,106.5414503
27450,-6.207341615,106.541406
27455,-6.207332764,106.5413617
27460,-6.207323904,106.5413174
27465,-6.207315108,106.5412731
27470,-6.207306356,106.5412288
27475,-6.207297605,106.5411845
27480,-6.207288945,106.5411401
27485,-6.207280284,106.5410958
27490,-6.207271677,106.5410514
27495,-6.207263107,106.5410071
27500,-6.207254546,106.5409627
27505,-6.207246129,106.5409183
27510,-6.207237713,106.5408739
27515,-6.207229333,106.5408295
27520,-6.207220989,106.5407851
27525,-6.207212645,106.5407407
27530,-6.207204355,106.5406963
27535,-6.207196074,106.5406519
27540,-6.20718782,106.5406074
27545,-6.207179594,106.540563
27550,-6.207171367,106.5405186
27555,-6.207163331,106.5404741
27560,-6.207155294,106.5404297
27565,-6.207147285,106.5403852
27570,-6.207139312,106.5403407
27575,-6.20713133,106.5402963
27580,-6.207123357,106.5402518
27585,-6.207115374,106.5402073
27590,-6.207107437,106.5401628
27595,-6.207099528,106.5401184
27600,-6.207091627,106.5400739
27605,-6.207083726,106.5400294
27610,-6.207075825,106.5399849
27615,-6.207067924,106.5399404
27620,-6.207060042,106.5398959
27625,-6.20705215,106.5398514
27630,-6.207044267,106.5398069
27635,-6.207036384,106.5397625
27640,-6.207028502,106.539718
27645,-6.207020619,106.5396735
27650,-6.207012736,106.539629
27655,-6.207004862,106.5395845
27660,-6.20699698,106.53954
27665,-6.206989097,106.5394955
27670,-6.206981223,106.539451
27675,-6.206973349,106.5394065
27680,-6.206965485,106.5393621
27685,-6.206957629,106.5393176
27690,-6.206949783,106.5392731
27695,-6.206941945,106.5392286
27700,-6.206934108,106.5391841
27705,-6.20692627,106.5391396
27710,-6.206918432,106.5390951
27715,-6.206910577,106.5390506
27720,-6.206902703,106.5390061
27725,-6.206894838,106.5389616
27730,-6.206887001,106.5389171
27735,-6.206879172,106.5388726
27740,-6.206871317,106.5388281
27745,-6.206863452,106.5387836
27750,-6.206855578,106.5387391
27755,-6.206847668,106.5386946
27760,-6.206839758,106.5386502
